phase,task,method,perturbation_family,level,trials_per_condition,required,notes
simulation,push_block,nominal,latency,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,latency,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,latency,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,latency,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,action_noise,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,action_noise,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,action_noise,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,action_noise,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,joint_range,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,joint_range,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,joint_range,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,joint_range,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,gripper_limit,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,gripper_limit,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,gripper_limit,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,gripper_limit,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,speed_cap,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,speed_cap,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,speed_cap,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,speed_cap,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,calibration_offset,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,calibration_offset,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,calibration_offset,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,calibration_offset,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,camera_shift,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,camera_shift,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,camera_shift,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,camera_shift,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,payload,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,payload,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,payload,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,payload,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,tool_extension,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,tool_extension,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,tool_extension,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,tool_extension,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,friction_surface,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,friction_surface,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
