artifact,check,status,detail,observed,expected
reports/ARTIFACT_MANIFEST.csv,artifact_manifest_exists_nonempty,pass,artifact manifest exists and is nonempty,178,>0 rows
release/RELEASE_BUNDLE_MANIFEST.csv,release_manifest_exists_nonempty,pass,release manifest exists and is nonempty,252,>0 rows
reports/ARTIFACT_MANIFEST.csv,artifact_manifest_exact_current_generated_set,pass,missing=[]; extra=[],178,178
reports/ARTIFACT_MANIFEST.csv,artifact_manifest_hashes_match_current_files,pass,bad_bytes=[]; bad_hashes=[],0,0
release/RELEASE_BUNDLE_MANIFEST.csv,release_manifest_exact_current_payload_set,pass,missing=[]; extra=[],252,252
release/RELEASE_BUNDLE_MANIFEST.csv,release_manifest_hashes_match_current_files,pass,bad_bytes=[]; bad_hashes=[],0,0
README_EXECUTION.md,documented_output_references_discovered,pass,documented output references discovered,68,>0
reports/NON_HARDWARE_COMPLETE.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/NON_HARDWARE_COMPLETE.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/NON_HARDWARE_COMPLETE.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/NON_HARDWARE_AUDIT.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/NON_HARDWARE_AUDIT.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/NON_HARDWARE_AUDIT.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/NON_HARDWARE_REQUIREMENTS_TRACE.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/NON_HARDWARE_REQUIREMENTS_TRACE.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/NON_HARDWARE_REQUIREMENTS_TRACE.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/BUDGET_AND_FAIRNESS_AUDIT.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/BUDGET_AND_FAIRNESS_AUDIT.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/BUDGET_AND_FAIRNESS_AUDIT.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/BODYBREAK_MINIMALITY_AUDIT.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/BODYBREAK_MINIMALITY_AUDIT.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/BODYBREAK_MINIMALITY_AUDIT.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/CLAIM_LEDGER.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/CLAIM_LEDGER.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/CLAIM_LEDGER.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/REPRODUCIBILITY_MANIFEST.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/REPRODUCIBILITY_MANIFEST.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/REPRODUCIBILITY_MANIFEST.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],1,1
reports/RELEASE_BUNDLE.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/RELEASE_BUNDLE.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],1,1
reports/RELEASE_BUNDLE.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],0,0
reports/ARTIFACT_INVENTORY_AUDIT.md,documented_output_exists_nonempty,pass,README_EXECUTION.md reference exists and is nonempty,1,1
reports/ARTIFACT_INVENTORY_AUDIT.md,documented_output_in_artifact_manifest_when_eligible,pass,README_EXECUTION.md reference artifact_manifest_missing=[],0,0
reports/ARTIFACT_INVENTORY_AUDIT.md,documented_output_in_release_manifest_when_eligible,pass,README_EXECUTION.md reference release_manifest_missing=[],0,0
