artifact,check,status,detail,observed,expected
reports/CLAIM_BOUNDARY.md,document_exists_nonempty,pass,document exists and is nonempty,1682,>0 bytes
reports/CLAIM_BOUNDARY.md,required_boundary_phrase,pass,required boundary phrase present,software and analytic-simulation claim only,
reports/CLAIM_BOUNDARY.md,required_boundary_phrase,pass,required boundary phrase present,No real SO-ARM101/SO-101 hardware result has been run,
reports/CLAIM_BOUNDARY.md,required_boundary_phrase,pass,required boundary phrase present,One public pretrained MuJoCo checkpoint benchmark has been run,
reports/CLAIM_BOUNDARY.md,required_boundary_phrase,pass,required boundary phrase present,No broad external/full-scale robot-policy MuJoCo/ManiSkill benchmark suite has been run,
reports/CLAIM_BOUNDARY.md,required_boundary_phrase,pass,required boundary phrase present,No real-camera or foundation-scale WAM training has been run,
reports/CLAIM_BOUNDARY.md,required_boundary_phrase,pass,required boundary phrase present,No real/external corrective-trace adaptation has been run,
reports/CLAIM_LEDGER.md,document_exists_nonempty,pass,document exists and is nonempty,11158,>0 bytes
reports/CLAIM_LEDGER.md,required_boundary_phrase,pass,required boundary phrase present,do not claim physical transfer,
reports/CLAIM_LEDGER.md,required_boundary_phrase,pass,required boundary phrase present,Do not present as real-video,
reports/CLAIM_LEDGER.md,required_boundary_phrase,pass,required boundary phrase present,one public pretrained MuJoCo checkpoint benchmark,
reports/CLAIM_LEDGER.md,required_boundary_phrase,pass,required boundary phrase present,Do not present as broad external/full-scale trained-policy MuJoCo/ManiSkill suite evidence,
reports/CLAIM_LEDGER.md,required_boundary_phrase,pass,required boundary phrase present,does not replace external archival upload,
reports/SIMULATION_SUMMARY.md,document_exists_nonempty,pass,document exists and is nonempty,4730,>0 bytes
reports/SIMULATION_SUMMARY.md,required_boundary_phrase,pass,required boundary phrase present,must not be presented as real robot or high-fidelity physics evidence,
reports/SIMULATION_SUMMARY.md,required_boundary_phrase,pass,required boundary phrase present,not broad external/full-scale MuJoCo or ManiSkill suite evidence,
reports/SIMULATION_SUMMARY.md,required_boundary_phrase,pass,required boundary phrase present,not real-video or foundation-scale WAM evidence,
reports/SIMULATION_SUMMARY.md,required_boundary_phrase,pass,required boundary phrase present,not real corrective-trace adaptation evidence,
reports/RELEASE_BUNDLE.md,document_exists_nonempty,pass,document exists and is nonempty,806,>0 bytes
reports/RELEASE_BUNDLE.md,required_boundary_phrase,pass,required boundary phrase present,does not prove an external archival upload,
reports/RELEASE_BUNDLE.md,required_boundary_phrase,pass,required boundary phrase present,public pretrained MuJoCo checkpoint benchmark,
reports/RELEASE_BUNDLE.md,required_boundary_phrase,pass,required boundary phrase present,real-video WAM training,
reports/RELEASE_BUNDLE.md,required_boundary_phrase,pass,required boundary phrase present,real corrective-trace adaptation,
reports/RELEASE_BUNDLE.md,required_boundary_phrase,pass,required boundary phrase present,hardware transfer,
reports/EXTERNAL_POLICY_BENCHMARK_READINESS.md,document_exists_nonempty,pass,document exists and is nonempty,4388,>0 bytes
reports/EXTERNAL_POLICY_BENCHMARK_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,not external/full-scale MuJoCo or ManiSkill trained-policy evidence,
reports/EXTERNAL_POLICY_BENCHMARK_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,example ManiSkill checkpoint is not present,
reports/EXTERNAL_POLICY_BENCHMARK_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,public SB3/RL-Zoo HalfCheetah checkpoint benchmark is complete,
reports/REAL_VIDEO_WAM_READINESS.md,document_exists_nonempty,pass,document exists and is nonempty,3710,>0 bytes
reports/REAL_VIDEO_WAM_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,not real-video WAM evidence,
reports/REAL_VIDEO_WAM_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,no real camera dataset is present,
reports/REAL_VIDEO_WAM_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,no real-video or foundation-scale WAM claim is supported,
reports/CORRECTIVE_TRACE_READINESS.md,document_exists_nonempty,pass,document exists and is nonempty,4015,>0 bytes
